effect,id,name,participants,reward_note,trigger,type
"Kombiniert Interceptor / Duellantin mit Controller / Runenbrecherin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Archivspinne ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_mira,Lyra + Mira: Mondbrand trifft Siegelriss,"[""Lyra Dorn"", ""Mira Voss""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Mira Voss trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Skirmisher / Taeuscher: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Glasfuchs ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_tarek,Lyra + Tarek: Mondbrand trifft Schuldmarke,"[""Lyra Dorn"", ""Tarek al-Sahir""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Tarek al-Sahir trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Ranger / Fallenbinderin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Moorkaefer ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_siofra,Lyra + Siofra: Mondbrand trifft Harzbindung,"[""Lyra Dorn"", ""Siofra Nhal""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Siofra Nhal trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Bruiser / Harpunierer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Riffbrecher ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_brannok,Lyra + Brannok: Mondbrand trifft Tiefenruf,"[""Lyra Dorn"", ""Brannok Reef""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Brannok Reef trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Tank / Bannstandarte: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Eidpanzer ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_edda,Lyra + Edda: Mondbrand trifft Eidmarke,"[""Lyra Dorn"", ""Edda Falkenlicht""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Edda Falkenlicht trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Assassin / Debuffer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Schachtmaus ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_kael,Lyra + Kael: Mondbrand trifft Rostbruch,"[""Lyra Dorn"", ""Kael Nhar""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Kael Nhar trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Support / Heiler-Monk: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Pilgerglocke ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_oren,Lyra + Oren: Mondbrand trifft Wundlicht,"[""Lyra Dorn"", ""Oren Vale""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Oren Vale trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_yara,Lyra + Yara: Mondbrand trifft Ueberladung,"[""Lyra Dorn"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_neris,Lyra + Neris: Mondbrand trifft Echohunger,"[""Lyra Dorn"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_velka,Lyra + Velka: Mondbrand trifft Sturmjagd,"[""Lyra Dorn"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_cyr,Lyra + Cyr: Mondbrand trifft Formschock,"[""Lyra Dorn"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Skirmisher / Taeuscher: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Glasfuchs ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_tarek,Mira + Tarek: Siegelriss trifft Schuldmarke,"[""Mira Voss"", ""Tarek al-Sahir""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Tarek al-Sahir trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Ranger / Fallenbinderin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Moorkaefer ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_siofra,Mira + Siofra: Siegelriss trifft Harzbindung,"[""Mira Voss"", ""Siofra Nhal""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Siofra Nhal trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Bruiser / Harpunierer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Riffbrecher ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_brannok,Mira + Brannok: Siegelriss trifft Tiefenruf,"[""Mira Voss"", ""Brannok Reef""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Brannok Reef trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Tank / Bannstandarte: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Eidpanzer ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_edda,Mira + Edda: Siegelriss trifft Eidmarke,"[""Mira Voss"", ""Edda Falkenlicht""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Edda Falkenlicht trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Assassin / Debuffer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Schachtmaus ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_kael,Mira + Kael: Siegelriss trifft Rostbruch,"[""Mira Voss"", ""Kael Nhar""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Kael Nhar trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Support / Heiler-Monk: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Pilgerglocke ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_oren,Mira + Oren: Siegelriss trifft Wundlicht,"[""Mira Voss"", ""Oren Vale""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Oren Vale trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_yara,Mira + Yara: Siegelriss trifft Ueberladung,"[""Mira Voss"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_neris,Mira + Neris: Siegelriss trifft Echohunger,"[""Mira Voss"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_velka,Mira + Velka: Siegelriss trifft Sturmjagd,"[""Mira Voss"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Controller / Runenbrecherin mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Archivspinne und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_mira_char_cyr,Mira + Cyr: Siegelriss trifft Formschock,"[""Mira Voss"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Mira Voss setzt Siegelriss und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Ranger / Fallenbinderin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Moorkaefer ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_siofra,Tarek + Siofra: Schuldmarke trifft Harzbindung,"[""Tarek al-Sahir"", ""Siofra Nhal""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Siofra Nhal trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Bruiser / Harpunierer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Riffbrecher ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_brannok,Tarek + Brannok: Schuldmarke trifft Tiefenruf,"[""Tarek al-Sahir"", ""Brannok Reef""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Brannok Reef trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Tank / Bannstandarte: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Eidpanzer ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_edda,Tarek + Edda: Schuldmarke trifft Eidmarke,"[""Tarek al-Sahir"", ""Edda Falkenlicht""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Edda Falkenlicht trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Assassin / Debuffer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Schachtmaus ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_kael,Tarek + Kael: Schuldmarke trifft Rostbruch,"[""Tarek al-Sahir"", ""Kael Nhar""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Kael Nhar trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Support / Heiler-Monk: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Pilgerglocke ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_oren,Tarek + Oren: Schuldmarke trifft Wundlicht,"[""Tarek al-Sahir"", ""Oren Vale""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Oren Vale trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_yara,Tarek + Yara: Schuldmarke trifft Ueberladung,"[""Tarek al-Sahir"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_neris,Tarek + Neris: Schuldmarke trifft Echohunger,"[""Tarek al-Sahir"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_velka,Tarek + Velka: Schuldmarke trifft Sturmjagd,"[""Tarek al-Sahir"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Skirmisher / Taeuscher mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Glasfuchs und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_tarek_char_cyr,Tarek + Cyr: Schuldmarke trifft Formschock,"[""Tarek al-Sahir"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Tarek al-Sahir setzt Schuldmarke und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Ranger / Fallenbinderin mit Bruiser / Harpunierer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Moorkaefer und Riffbrecher ihre Module fuer ein Konvoi-Manoever.",combo_char_siofra_char_brannok,Siofra + Brannok: Harzbindung trifft Tiefenruf,"[""Siofra Nhal"", ""Brannok Reef""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Siofra Nhal setzt Harzbindung und Brannok Reef trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Ranger / Fallenbinderin mit Tank / Bannstandarte: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Moorkaefer und Eidpanzer ihre Module fuer ein Konvoi-Manoever.",combo_char_siofra_char_edda,Siofra + Edda: Harzbindung trifft Eidmarke,"[""Siofra Nhal"", ""Edda Falkenlicht""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Siofra Nhal setzt Harzbindung und Edda Falkenlicht trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Ranger / Fallenbinderin mit Assassin / Debuffer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Moorkaefer und Schachtmaus ihre Module fuer ein Konvoi-Manoever.",combo_char_siofra_char_kael,Siofra + Kael: Harzbindung trifft Rostbruch,"[""Siofra Nhal"", ""Kael Nhar""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Siofra Nhal setzt Harzbindung und Kael Nhar trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Ranger / Fallenbinderin mit Support / Heiler-Monk: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Moorkaefer und Pilgerglocke ihre Module fuer ein Konvoi-Manoever.",combo_char_siofra_char_oren,Siofra + Oren: Harzbindung trifft Wundlicht,"[""Siofra Nhal"", ""Oren Vale""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Siofra Nhal setzt Harzbindung und Oren Vale trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Ranger / Fallenbinderin mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Moorkaefer und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_siofra_char_yara,Siofra + Yara: Harzbindung trifft Ueberladung,"[""Siofra Nhal"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Siofra Nhal setzt Harzbindung und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Ranger / Fallenbinderin mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Moorkaefer und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_siofra_char_neris,Siofra + Neris: Harzbindung trifft Echohunger,"[""Siofra Nhal"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Siofra Nhal setzt Harzbindung und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Ranger / Fallenbinderin mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Moorkaefer und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_siofra_char_velka,Siofra + Velka: Harzbindung trifft Sturmjagd,"[""Siofra Nhal"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Siofra Nhal setzt Harzbindung und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Ranger / Fallenbinderin mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Moorkaefer und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_siofra_char_cyr,Siofra + Cyr: Harzbindung trifft Formschock,"[""Siofra Nhal"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Siofra Nhal setzt Harzbindung und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Bruiser / Harpunierer mit Tank / Bannstandarte: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Riffbrecher und Eidpanzer ihre Module fuer ein Konvoi-Manoever.",combo_char_brannok_char_edda,Brannok + Edda: Tiefenruf trifft Eidmarke,"[""Brannok Reef"", ""Edda Falkenlicht""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Brannok Reef setzt Tiefenruf und Edda Falkenlicht trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
