effect,id,name,participants,reward_note,trigger,type
"Kombiniert Bruiser / Harpunierer mit Assassin / Debuffer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Riffbrecher und Schachtmaus ihre Module fuer ein Konvoi-Manoever.",combo_char_brannok_char_kael,Brannok + Kael: Tiefenruf trifft Rostbruch,"[""Brannok Reef"", ""Kael Nhar""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Brannok Reef setzt Tiefenruf und Kael Nhar trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Bruiser / Harpunierer mit Support / Heiler-Monk: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Riffbrecher und Pilgerglocke ihre Module fuer ein Konvoi-Manoever.",combo_char_brannok_char_oren,Brannok + Oren: Tiefenruf trifft Wundlicht,"[""Brannok Reef"", ""Oren Vale""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Brannok Reef setzt Tiefenruf und Oren Vale trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Bruiser / Harpunierer mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Riffbrecher und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_brannok_char_yara,Brannok + Yara: Tiefenruf trifft Ueberladung,"[""Brannok Reef"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Brannok Reef setzt Tiefenruf und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Bruiser / Harpunierer mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Riffbrecher und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_brannok_char_neris,Brannok + Neris: Tiefenruf trifft Echohunger,"[""Brannok Reef"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Brannok Reef setzt Tiefenruf und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Bruiser / Harpunierer mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Riffbrecher und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_brannok_char_velka,Brannok + Velka: Tiefenruf trifft Sturmjagd,"[""Brannok Reef"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Brannok Reef setzt Tiefenruf und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Bruiser / Harpunierer mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Riffbrecher und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_brannok_char_cyr,Brannok + Cyr: Tiefenruf trifft Formschock,"[""Brannok Reef"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Brannok Reef setzt Tiefenruf und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Tank / Bannstandarte mit Assassin / Debuffer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Eidpanzer und Schachtmaus ihre Module fuer ein Konvoi-Manoever.",combo_char_edda_char_kael,Edda + Kael: Eidmarke trifft Rostbruch,"[""Edda Falkenlicht"", ""Kael Nhar""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Edda Falkenlicht setzt Eidmarke und Kael Nhar trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Tank / Bannstandarte mit Support / Heiler-Monk: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Eidpanzer und Pilgerglocke ihre Module fuer ein Konvoi-Manoever.",combo_char_edda_char_oren,Edda + Oren: Eidmarke trifft Wundlicht,"[""Edda Falkenlicht"", ""Oren Vale""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Edda Falkenlicht setzt Eidmarke und Oren Vale trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Tank / Bannstandarte mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Eidpanzer und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_edda_char_yara,Edda + Yara: Eidmarke trifft Ueberladung,"[""Edda Falkenlicht"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Edda Falkenlicht setzt Eidmarke und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Tank / Bannstandarte mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Eidpanzer und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_edda_char_neris,Edda + Neris: Eidmarke trifft Echohunger,"[""Edda Falkenlicht"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Edda Falkenlicht setzt Eidmarke und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Tank / Bannstandarte mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Eidpanzer und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_edda_char_velka,Edda + Velka: Eidmarke trifft Sturmjagd,"[""Edda Falkenlicht"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Edda Falkenlicht setzt Eidmarke und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Tank / Bannstandarte mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Eidpanzer und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_edda_char_cyr,Edda + Cyr: Eidmarke trifft Formschock,"[""Edda Falkenlicht"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Edda Falkenlicht setzt Eidmarke und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Assassin / Debuffer mit Support / Heiler-Monk: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Schachtmaus und Pilgerglocke ihre Module fuer ein Konvoi-Manoever.",combo_char_kael_char_oren,Kael + Oren: Rostbruch trifft Wundlicht,"[""Kael Nhar"", ""Oren Vale""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Kael Nhar setzt Rostbruch und Oren Vale trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Assassin / Debuffer mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Schachtmaus und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_kael_char_yara,Kael + Yara: Rostbruch trifft Ueberladung,"[""Kael Nhar"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Kael Nhar setzt Rostbruch und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Assassin / Debuffer mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Schachtmaus und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_kael_char_neris,Kael + Neris: Rostbruch trifft Echohunger,"[""Kael Nhar"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Kael Nhar setzt Rostbruch und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Assassin / Debuffer mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Schachtmaus und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_kael_char_velka,Kael + Velka: Rostbruch trifft Sturmjagd,"[""Kael Nhar"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Kael Nhar setzt Rostbruch und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Assassin / Debuffer mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Schachtmaus und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_kael_char_cyr,Kael + Cyr: Rostbruch trifft Formschock,"[""Kael Nhar"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Kael Nhar setzt Rostbruch und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Support / Heiler-Monk mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Pilgerglocke und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_oren_char_yara,Oren + Yara: Wundlicht trifft Ueberladung,"[""Oren Vale"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Oren Vale setzt Wundlicht und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Support / Heiler-Monk mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Pilgerglocke und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_oren_char_neris,Oren + Neris: Wundlicht trifft Echohunger,"[""Oren Vale"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Oren Vale setzt Wundlicht und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Support / Heiler-Monk mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Pilgerglocke und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_oren_char_velka,Oren + Velka: Wundlicht trifft Sturmjagd,"[""Oren Vale"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Oren Vale setzt Wundlicht und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Support / Heiler-Monk mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Pilgerglocke und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_oren_char_cyr,Oren + Cyr: Wundlicht trifft Formschock,"[""Oren Vale"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Oren Vale setzt Wundlicht und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Engineer / Drohnenkern mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Kranhexe und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_yara_char_neris,Yara + Neris: Ueberladung trifft Echohunger,"[""Yara Kest"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Yara Kest setzt Ueberladung und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Engineer / Drohnenkern mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Kranhexe und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_yara_char_velka,Yara + Velka: Ueberladung trifft Sturmjagd,"[""Yara Kest"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Yara Kest setzt Ueberladung und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Engineer / Drohnenkern mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Kranhexe und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_yara_char_cyr,Yara + Cyr: Ueberladung trifft Formschock,"[""Yara Kest"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Yara Kest setzt Ueberladung und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Echo-Mage / Opfermagie mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Traumsaege und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_neris_char_velka,Neris + Velka: Echohunger trifft Sturmjagd,"[""Neris Vael"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Neris Vael setzt Echohunger und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Echo-Mage / Opfermagie mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Traumsaege und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_neris_char_cyr,Neris + Cyr: Echohunger trifft Formschock,"[""Neris Vael"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Neris Vael setzt Echohunger und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Lancer / Verfolgerin mit Adaptive / Formwechsel: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Sturmwidder und Namenloser Kern ihre Module fuer ein Konvoi-Manoever.",combo_char_velka_char_cyr,Velka + Cyr: Sturmjagd trifft Formschock,"[""Velka Sturmtritt"", ""Cyr Ohne Gestern""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Velka Sturmtritt setzt Sturmjagd und Cyr Ohne Gestern trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Mira fixiert die Arena, Tarek legt Koeder, Lyra springt durch die Luecke. Ideal gegen schnelle Bosse.",combo_trio_01,Letzte Laternen Dreieck,"[""Lyra Dorn"", ""Mira Voss"", ""Tarek al-Sahir""]",Gibt eine sichtbare Kampfansage und kann als Meisterschaftsziel im Journal erscheinen.,Drei Spieler oder zwei Spieler plus Companion-AI treffen ihre Callout-Fenster in richtiger Reihenfolge.,trio
"Harz bindet, Harpune zieht, Drohne nietet. Vehicle-Variante baut eine mobile Barrikade.",combo_trio_02,Wald und Werft,"[""Siofra Nhal"", ""Brannok Reef"", ""Yara Kest""]",Gibt eine sichtbare Kampfansage und kann als Meisterschaftsziel im Journal erscheinen.,Drei Spieler oder zwei Spieler plus Companion-AI treffen ihre Callout-Fenster in richtiger Reihenfolge.,trio
"Edda haelt Eidwand, Kael schneidet Reparaturen, Oren wandelt Schaden in Wundlicht.",combo_trio_03,Eidbruch-Konvoi,"[""Edda Falkenlicht"", ""Kael Nhar"", ""Oren Vale""]",Gibt eine sichtbare Kampfansage und kann als Meisterschaftsziel im Journal erscheinen.,Drei Spieler oder zwei Spieler plus Companion-AI treffen ihre Callout-Fenster in richtiger Reihenfolge.,trio
"Hochgeschwindigkeits-Verfolgung: Koeder, Jagdmarke, Harpunenramme.",combo_trio_04,Sturm ueber Glas,"[""Velka Sturmtritt"", ""Tarek al-Sahir"", ""Brannok Reef""]",Gibt eine sichtbare Kampfansage und kann als Meisterschaftsziel im Journal erscheinen.,Drei Spieler oder zwei Spieler plus Companion-AI treffen ihre Callout-Fenster in richtiger Reihenfolge.,trio
"Echo, Sigil und Formwechsel destabilisieren Archivgegner. Sehr stark, aber riskant.",combo_trio_05,Namenloses Archiv,"[""Neris Vael"", ""Mira Voss"", ""Cyr Ohne Gestern""]",Gibt eine sichtbare Kampfansage und kann als Meisterschaftsziel im Journal erscheinen.,Drei Spieler oder zwei Spieler plus Companion-AI treffen ihre Callout-Fenster in richtiger Reihenfolge.,trio
"Tunnelkontrolle, Drohnenreparatur und Runenminen fuer Dungeon-Engstellen.",combo_trio_06,Schacht-Notdienst,"[""Kael Nhar"", ""Yara Kest"", ""Mira Voss""]",Gibt eine sichtbare Kampfansage und kann als Meisterschaftsziel im Journal erscheinen.,Drei Spieler oder zwei Spieler plus Companion-AI treffen ihre Callout-Fenster in richtiger Reihenfolge.,trio
"Jagd, Frontlinie und Duellschaden. Perfekt fuer offene Feldbosse.",combo_trio_07,Fackelruh-Rache,"[""Lyra Dorn"", ""Velka Sturmtritt"", ""Edda Falkenlicht""]",Gibt eine sichtbare Kampfansage und kann als Meisterschaftsziel im Journal erscheinen.,Drei Spieler oder zwei Spieler plus Companion-AI treffen ihre Callout-Fenster in richtiger Reihenfolge.,trio
"Post-Boss-Tech: Reparatur wird zu Heilung, Heilung zu Schild, Schild zu Rammschaden.",combo_trio_08,Barmherzige Maschine,"[""Oren Vale"", ""Yara Kest"", ""Sankt Ival-Splitter""]",Gibt eine sichtbare Kampfansage und kann als Meisterschaftsziel im Journal erscheinen.,Drei Spieler oder zwei Spieler plus Companion-AI treffen ihre Callout-Fenster in richtiger Reihenfolge.,trio
"Drei Fahrzeuge fahren innerhalb einer Laternenbarriere. Der vorderste blockt Projektile, die hinteren laden Ultimates.",combo_convoy_01,Laternenzug,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Zwei Harpunenfahrzeuge verankern ein Bossfahrzeug, ein drittes rammt durch den Zugwinkel.",combo_convoy_02,Harpunenkarussell,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Runenminen und Spiegelkoeder bauen eine falsche Strasse, in die Verfolger hineinbremsen.",combo_convoy_03,Spiegelgasse,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Kettenbohrer oeffnet Engstelle, Eidpanzer versperrt Rueckweg, Schrottnebel nimmt Reparatur.",combo_convoy_04,Schachtquetsche,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Riffbrecher schiebt Gegner in Wasserlinien, Siofra bindet, Yara ueberlaedt.",combo_convoy_05,Brandungsbrecher,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Edda markiert von oben, Velka jagt, Lyra schliesst mit Rissdrift.",combo_convoy_06,Falkensturz-Konvoi,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Neris oeffnet Echoportal, Cyr kopiert das Modul, Mira fixiert Ausstieg.",combo_convoy_07,Echo-Umleitung,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
Oren verbindet ein zerstoertes Fahrzeug mit seinem Support-Rig und zieht es aus der Todeszone.,combo_convoy_08,Rettungsleine,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Tarek fuehrt durch Blindzonen, alle Fahrzeuge erhalten Boost, aber Sicht ist reduziert.",combo_convoy_09,Salzsturm-Sprint,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Graumarsch-Konvoi bricht Barrikade, Wasserstrom wird kurz zur Waffe.",combo_convoy_10,Dammbruch,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
"Tiefenglocken-Kern zieht Schwarmgegner an, dann loesen alle AoE-Module aus.",combo_convoy_11,Glockenritt,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
Endgame-Manoever: Vier Fahrzeuge aktivieren nacheinander Gravitationstore.,combo_convoy_12,Asterhof-Spindel,"[""beliebige Fahrzeuge mit passenden Slots""]","Konvoi-Meisterschaften geben Kosmetik, Titel und Vehicle-Mod-Fokusbeute.","Positionierung, Geschwindigkeit und Modul-Timing innerhalb eines 6-Sekunden-Fensters.",vehicle_convoy
