effect,handling_change,heat_change,id,name,notes,power_budget,slot,source,tier
Sumpf und flaches Wasser verlieren fast alle Bremswirkung.,-1,-1,vm_001,Moorlaeufer-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,chassis,Sonnenglasweite,gewoehnlich
"Sehr leichter Rahmen fuer Drift, Sprung und seitliche Ausweichfenster.",1,0,vm_002,Rissjaeger-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,chassis,Wurzelwald,gewoehnlich
"Langsam, aber Verbundete koennen hinter dir Schildladung aufbauen.",3,1,vm_003,Eidpanzer-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,chassis,Eisenbrandkueste,gewoehnlich
"Auf Glas, Salz und Sand gewinnt das Fahrzeug bei Drift Tempo statt es zu verlieren.",-2,2,vm_004,Sandsegler-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",22,chassis,Hochkamm,gewoehnlich
Kann kurz an Waenden und Tunnelkanten haften.,0,-2,vm_005,Schachtspinne-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",25,chassis,Dunkelgrund,gewoehnlich
Ramm- und Harpunenmodule verursachen mehr Haltungsbruch.,2,-1,vm_006,Werftbastion-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",28,chassis,Scherbenkrone,gewoehnlich
"Erlaubt kurze Phasenverschiebung, aber macht den Kern hitzeanfaellig.",-3,0,vm_007,Echo-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",10,chassis,Graumarsch,gewoehnlich
Skaliert im Koop: nahe Fahrzeuge bekommen kleine Laternenbarriere.,-1,1,vm_008,Konvoi-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,chassis,Sonnenglasweite,gewoehnlich
Allround-Kern mit stabiler Hitze und guter Resonanzgeneration.,1,2,vm_009,Mondglas-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,core,Wurzelwald,veredelt
Staerker bei hoher Geschwindigkeit; schwach bei Stillstand.,3,-2,vm_010,Salzspiegel-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,core,Eisenbrandkueste,veredelt
"Regeneriert in Naturzonen, kann aber durch Feuer ueberhitzen.",-2,-1,vm_011,Harzherz-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",22,core,Hochkamm,veredelt
Rammangriffe erzeugen Schockwellen und ziehen leichte Gegner an.,0,0,vm_012,Tiefenglocken-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",25,core,Dunkelgrund,veredelt
"Schild staerker, Schaden niedriger, perfekte Blocks geben Teamenergie.",2,1,vm_013,Eidkern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",28,core,Scherbenkrone,veredelt
"Billig zu reparieren, aber instabil. Kritische Treffer koennen Module resetten.",-3,2,vm_014,Schrottfunken-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",10,core,Graumarsch,veredelt
"Sigile bleiben laenger auf der Strecke, Gegnerdaten werden markiert.",-1,-2,vm_015,Archivkern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,core,Sonnenglasweite,veredelt
"Kurze schwere Frontattacke, bricht Barrikaden und Panzerplatten.",1,-1,vm_016,Kettenramme,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,front_weapon,Wurzelwald,veredelt
"Mittlere Reichweite, baut Mondbrand auf.",3,0,vm_017,Funkenkanone,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,front_weapon,Eisenbrandkueste,veredelt
Zieht Ziele oder zieht dich an schwere Ziele heran.,-2,1,vm_018,Harpunenlanze,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",22,front_weapon,Hochkamm,selten
Legt beim Driften Sigillinien auf den Boden.,0,2,vm_019,Runenpflug,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",25,front_weapon,Dunkelgrund,selten
"Blendet Fahrer, Schuetzen und fliegende Gegner.",2,-2,vm_020,Salzstreuer,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",28,front_weapon,Scherbenkrone,selten
Fuegt Harzbindung zu und zerfetzt Reifen/Beine.,-3,-1,vm_021,Dornenwalze,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",10,front_weapon,Graumarsch,selten
Fuegt Panzerbruch zu und oeffnet Tunnelabkuerzungen.,-1,0,vm_022,Schachtbohrer,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,front_weapon,Sonnenglasweite,selten
Praezise Frontlanze mit hohem Schaden gegen markierte Ziele.,1,1,vm_023,Falkenspeer,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,front_weapon,Wurzelwald,selten
Schneidet beim Vorbeifahren durch leichte Gegnergruppen.,3,2,vm_024,Seitensense,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,side_weapon,Eisenbrandkueste,selten
"Schneller Seitenbeschuss, skaliert mit Ueberladung.",-2,-2,vm_025,Nietwerfer,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",22,side_weapon,Hochkamm,selten
"Greift durch Illusionsschilde, kostet aber Kernstabilitaet.",0,-1,vm_026,Echozunge,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",25,side_weapon,Dunkelgrund,selten
Setzt organische Minen auf der Strecke ab.,2,0,vm_027,Wurzelwerfer,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",28,side_weapon,Scherbenkrone,signatur
Breite Streuung gegen Schwarmgegner.,-3,1,vm_028,Schrapnellorgel,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",10,side_weapon,Graumarsch,signatur
Verlangsamt Projektile im Nahbereich des Fahrzeugs.,-1,2,vm_029,Bannlaterne,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,side_weapon,Sonnenglasweite,signatur
Bricht Zielerfassung und legt Rostbruch.,1,-2,vm_030,Rauchfass,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,rear_utility,Wurzelwald,signatur
Heilt ein nahes Fahrzeug oder eigenes Heckmodul.,3,-1,vm_031,Reparaturkran,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,rear_utility,Eisenbrandkueste,signatur
Lockt Nachtflut-Schwarm und Raketen auf eine falsche Spur.,-2,0,vm_032,Koederfackel,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",22,rear_utility,Hochkamm,signatur
Verbindet zwei Fahrzeuge fuer Schleuder- oder Rettungsmanoever.,0,1,vm_033,Konvoianker,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",25,rear_utility,Dunkelgrund,signatur
"Kurzer Sprung ueber Graben, Wellen und Risslinien.",2,2,vm_034,Risssprung-Duese,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",28,mobility,Scherbenkrone,signatur
"Extrem enge Kurve, wenn kurz vorher gebremst wird.",-3,-2,vm_035,Ankerkurve,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",10,mobility,Graumarsch,signatur
"Haelt an vertikalen Kanten, besonders in Dunkelgrund.",-1,-1,vm_036,Kletterkette,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,mobility,Sonnenglasweite,relikt
Nutzt Windzonen fuer Boost statt Kontrollverlust.,1,0,vm_037,Sturmsegel,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,mobility,Wurzelwald,relikt
Schild regeneriert nach 4 Sekunden ohne Schaden.,3,1,vm_038,Laternenpanzer,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,armor,Eisenbrandkueste,relikt
"Sehr hohe Frontpanzerung, schwache Seiten.",-2,2,vm_039,Schlackeplatten,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",22,armor,Hochkamm,relikt
Schluckt kleine Treffer und repariert sich langsam.,0,-2,vm_040,Harzschicht,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",25,armor,Dunkelgrund,relikt
"Chance, Zielmarkierungen auf Gegner zurueckzuwerfen.",2,-1,vm_041,Spiegellack,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",28,armor,Scherbenkrone,relikt
